ID	Name	Type	PriceType	Price	PriceBeforeDiscount	Time	AddGem	AddChip	AddInteractiveItem	AddSpeechItem	AddKickCard	AddLockCard	ReturnPercentageAtLose	ReturnProbabilityAtLose	ReturnPercentageAtLose2	ExtraChipPercentageAtWin	ExtraChipProbabilityAtWin	UseInteractiveItemFreePercentage	ExtraExpPercentage	GetOneKickCardProbabilityAtWin	GetOneLockCardProbabilityAtWin	CheckFoldCard	CheckOneFoldCardProbability	ExtraOneExpProbabilityAtWin	InfoVersion	StorePosition	MinRandomChip	MaxRandomChip	DiscountBuyItem	ExtraChipLimit
1	钻石包_1	0	2	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1101	0	0	0	0
2	钻石包_2	0	2	30	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1102	0	0	0	0
3	钻石包_3	0	2	128	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1103	0	0	0	0
4	钻石包_4	0	2	328	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1104	0	0	0	0
5	钻石包_5	0	2	648	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1105	0	0	0	0
6	筹码包_1	0	1	5	0	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1201	0	0	0	0
7	筹码包_2	0	1	18	0	0	0	780000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1202	0	0	0	0
8	筹码包_3	0	1	58	0	0	0	2680000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1203	0	0	0	0
9	筹码包_4	0	1	188	0	0	0	8880000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1204	0	0	0	0
10	筹码包_5	0	1	538	0	0	0	25880000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1205	0	0	0	0
11	礼包_1	0	1	68	0	0	0	2680000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1301	0	0	0	0
12	礼包_2	0	1	108	0	0	0	4080000	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1302	0	0	0	0
13	礼包_3	0	1	168	0	0	0	5480000	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	1303	0	0	0	0
14	礼包_4	0	1	258	0	0	0	8480000	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4	1304	0	0	0	0
15	礼包_5	0	1	428	0	0	0	15180000	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	4	1305	0	0	0	0
5001	VIP（白银）	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	90	0
5002	VIP（黄金）	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	80	0
5003	VIP（钻石）	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	70	0
5004	VIP（至尊）	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	70	0
16	互动道具包_1	0	0	1000	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2301	0	0	0	0
17	互动道具包_2	0	0	6000	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2302	0	0	0	0
18	互动道具包_3	0	0	24000	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2303	0	0	0	0
19	喇叭包_1	0	0	2500	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2201	0	0	0	0
20	喇叭包_2	0	0	15000	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2202	0	0	0	0
21	喇叭包_3	0	0	60000	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2203	0	0	0	0
1001	房产_破败小屋	1	0	780000	0	168	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	150000
1002	房产_小木屋	1	0	1580000	0	168	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	300000
1003	房产_砖瓦小屋	1	1	258	0	168	0	0	0	0	0	0	4	2	50	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3000000
1004	房产_洋房	1	0	5180000	0	168	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1000000
1005	房产_花园洋房	1	0	6580000	0	168	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1300000
1006	房产_三层洋房	1	1	628	0	168	0	0	0	0	0	0	8	4	50	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7500000
1007	房产_别墅	1	0	12580000	0	168	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2500000
1008	房产_海景别墅	1	0	15180000	0	168	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3000000
1009	房产_中世纪城堡	1	1	1700	0	168	0	0	0	0	0	0	12	6	50	0	0	0	0	0	0	0	0	0	6	0	0	0	0	14000000
1010	房产_宫殿（莫斯科）	1	1	2150	0	168	0	0	0	0	0	0	13	8	50	0	0	0	0	0	0	0	0	0	6	0	0	0	0	18000000
1011	房产_宫殿（凡尔赛宫）	1	1	2150	0	168	0	0	0	0	0	0	13	8	50	0	0	0	0	0	0	0	0	0	6	0	0	0	0	18000000
1012	房产_宫殿（白宫）	1	1	3000	0	168	0	0	0	0	0	0	15	10	50	0	0	0	0	0	0	0	0	0	6	0	0	0	0	25000000
1013	房产_宫殿（紫禁城）	1	1	3000	0	168	0	0	0	0	0	0	15	10	50	0	0	0	0	0	0	0	0	0	6	0	0	0	0	25000000
2002	交通工具_自行车	2	0	1280000	0	168	0	0	0	0	0	0	0	0	0	3	100	0	0	0	0	0	0	0	5	0	0	0	0	250000
2003	交通工具_摩托	2	0	2080000	0	168	0	0	0	0	0	0	0	0	0	5	100	0	0	0	0	0	0	0	5	0	0	0	0	400000
2004	交通工具_哈雷摩托	2	1	228	0	168	0	0	0	0	0	0	0	0	0	8	100	100	0	1	9	0	0	0	5	0	0	0	0	2700000
2005	交通工具_跑车	2	0	7180000	0	168	0	0	0	0	0	0	0	0	0	12	100	0	0	0	0	0	0	0	5	0	0	0	0	1400000
2006	交通工具_SUV	2	1	588	0	168	0	0	0	0	0	0	0	0	0	15	100	100	0	4	16	0	0	0	5	0	0	0	0	7000000
2007	交通工具_水上摩托	2	0	10080000	0	168	0	0	0	0	0	0	0	0	0	16	100	0	0	0	0	0	0	0	5	0	0	0	0	2000000
2008	交通工具_加长林肯	2	0	12680000	0	168	0	0	0	0	0	0	0	0	0	18	100	0	0	0	0	0	0	0	5	0	0	0	0	2500000
2009	交通工具_布加迪威龙	2	1	1450	0	168	0	0	0	0	0	0	0	0	0	20	100	100	0	7	23	0	0	0	6	0	0	0	0	12000000
2010	交通工具_游艇	2	1	2400	0	168	0	0	0	0	0	0	0	0	0	25	100	100	0	12	38	0	0	0	6	0	0	0	0	20000000
2011	交通工具_私人飞机	2	1	2400	0	168	0	0	0	0	0	0	0	0	0	25	100	100	0	12	38	0	0	0	6	0	0	0	0	20000000
2012	交通工具_豪华客轮	2	1	3600	0	168	0	0	0	0	0	0	0	0	0	30	100	100	0	20	60	0	0	0	6	0	0	0	0	30000000
2013	交通工具_空军一号	2	1	3600	0	168	0	0	0	0	0	0	0	0	0	30	100	100	0	20	60	0	0	0	6	0	0	0	0	30000000
2014	交通工具_汽车	2	0	5180000	0	168	0	0	0	0	0	0	0	0	0	10	100	0	0	0	0	0	0	0	5	0	0	0	0	1000000
3001	饰品_宝石十字架	3	0	1280000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0
3002	饰品_高科技士兵牌	3	0	1280000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	4	0	0	0	0	0
3003	饰品_玉佩	3	1	88	0	168	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	0	0	4	0	0	0	0	0
3004	饰品_红宝石耳环	3	0	2980000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	4	0	0	0	0	0
3005	饰品_白金手镯	3	0	2980000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	4	0	0	0	0	0
3006	饰品_卡地亚钻石戒指	3	1	138	0	168	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	1	0	0	4	0	0	0	0	0
3007	饰品_白玉扳指	3	1	368	0	168	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	3	0	0	6	0	0	0	0	0
3008	饰品_黑珍珠项链	3	0	4980000	0	168	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	4	0	0	0	0	0
3009	饰品_水晶骷髅项链	3	1	248	0	168	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	2	0	0	6	0	0	0	0	0
3010	饰品_翠玉白菜	3	1	248	0	168	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	2	0	0	4	0	0	0	0	0
